Files,Revision Final,Revision in UAT,Files,Found in PRD?,Revision in PRD,Revision Different?,Revision PRD > UAT?,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean,
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\detainee\entity\Detent.java,97977,97977,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/Detent.java,69696,69696,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/Detent.java,svn update -r97977 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/Detent.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\detainee\entity\DetentSearch.java,87039,87039,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/DetentSearch.java,77828,77828,Y,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/DetentSearch.java,svn update -r87039 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/detainee/entity/DetentSearch.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\AlertForChk7Dto.java,99197,99197,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/AlertForChk7Dto.java,N,99197,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/AlertForChk7Dto.java,svn update -r99197 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/AlertForChk7Dto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\BlockHistoryDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockHistoryDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockHistoryDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockHistoryDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\BlockTypeDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockTypeDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockTypeDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/BlockTypeDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CardReaderStatusDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CardReaderStatusDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CardReaderStatusDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CardReaderStatusDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CellDetailInformationDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetailInformationDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetailInformationDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetailInformationDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CellDetaineeDetailDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetaineeDetailDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetaineeDetailDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellDetaineeDetailDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CellInformationDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellInformationDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellInformationDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellInformationDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CellMaintenanceDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CellMaintenanceHistoryDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceHistoryDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceHistoryDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CellMaintenanceHistoryDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CheckHistoryDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckHistoryDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckHistoryDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckHistoryDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\CheckInformationDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckInformationDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckInformationDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/CheckInformationDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\DefectInfoDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DefectInfoDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DefectInfoDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DefectInfoDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\DetaineeDetailStatus.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeDetailStatus.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeDetailStatus.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeDetailStatus.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\DetaineeMoveInOutDto.java,94600,94600,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeMoveInOutDto.java,N,94600,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeMoveInOutDto.java,svn update -r94600 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/DetaineeMoveInOutDto.java
\jar.cis2.commons\src\main\java\gov\hkpf\cis2\common\model\fip\dto\EcellCheckLogResultDto.java,96598,96598,jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckLogResultDto.java,N,96598,N,,E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckLogResultDto.java,svn update -r96598 E:/CMIS/Workspaces/Workspace_CIMS/XA_workspace_clean/jar.cis2.commons/src/main/java/gov/hkpf/cis2/common/model/fip/dto/EcellCheckLogResultDto.java
